"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047965","SANTA ROSA, CA US","2011-03-05","67","35","61"
"USC00047965","SANTA ROSA, CA US","2011-03-06","61","47","57"
"USC00047965","SANTA ROSA, CA US","2011-03-07","61","41","52"
"USC00047965","SANTA ROSA, CA US","2011-03-08","64","46","63"
"USC00047965","SANTA ROSA, CA US","2011-03-09","66","40","65"
"USC00047965","SANTA ROSA, CA US","2011-03-10","66","40","61"
"USC00047965","SANTA ROSA, CA US","2011-03-11","64","41","62"
"USC00047965","SANTA ROSA, CA US","2011-03-12","65","40","62"
"USC00047965","SANTA ROSA, CA US","2011-03-13","60","42","55"
"USC00047965","SANTA ROSA, CA US","2011-03-14","55","44","64"
"USC00047965","SANTA ROSA, CA US","2011-03-15","56","45","54"
"USC00047965","SANTA ROSA, CA US","2011-03-16","61","45","59"
"USC00047965","SANTA ROSA, CA US","2011-03-17","60","33","53"
"USC00047965","SANTA ROSA, CA US","2011-03-18","55","41","51"
"USC00047965","SANTA ROSA, CA US","2011-03-19","47","39","46"
"USC00047965","SANTA ROSA, CA US","2011-03-20","56","43","56"
"USC00047965","SANTA ROSA, CA US","2011-03-21","60","36","59"
"USC00047965","SANTA ROSA, CA US","2011-03-22","60","36","55"
"USC00047965","SANTA ROSA, CA US","2011-03-23","58","42","55"
"USC00047965","SANTA ROSA, CA US","2011-03-24","51","41","50"
"USC00047965","SANTA ROSA, CA US","2011-03-25","57","40","51"
"USC00047965","SANTA ROSA, CA US","2011-03-26","55","43","53"
"USC00047965","SANTA ROSA, CA US","2011-03-27","56","40","50"
"USC00047965","SANTA ROSA, CA US","2011-03-28","65","37","62"
"USC00047965","SANTA ROSA, CA US","2011-03-29","71","39","73"
"USC00047965","SANTA ROSA, CA US","2011-03-30","85","46","84"
"USC00047965","SANTA ROSA, CA US","2011-03-31","86","49","86"
"USC00047965","SANTA ROSA, CA US","2011-04-01","81","50","79"
"USC00047965","SANTA ROSA, CA US","2011-04-02","79","42","73"
"USC00047965","SANTA ROSA, CA US","2011-04-03","73","39","67"
"USC00047965","SANTA ROSA, CA US","2011-04-04","80","40","78"
"USC00047965","SANTA ROSA, CA US","2011-04-05","78","37","76"
"USC00047965","SANTA ROSA, CA US","2011-04-06","76","40","65"
"USC00047965","SANTA ROSA, CA US","2011-04-07","64","41","56"
"USC00047965","SANTA ROSA, CA US","2011-04-08","58","34","55"
"USC00047965","SANTA ROSA, CA US","2011-04-09","67","34","65"
"USC00047965","SANTA ROSA, CA US","2011-04-10","66","35","59"
"USC00047965","SANTA ROSA, CA US","2011-04-11","64","38","64"
"USC00047965","SANTA ROSA, CA US","2011-04-12","64","35","59"
"USC00047965","SANTA ROSA, CA US","2011-04-13","61","38","59"
"USC00047965","SANTA ROSA, CA US","2011-04-14","63","37","61"
"USC00047965","SANTA ROSA, CA US","2011-04-15","70","44","69"
"USC00047965","SANTA ROSA, CA US","2011-04-16","76","46","74"
"USC00047965","SANTA ROSA, CA US","2011-04-17","69","46","67"
"USC00047965","SANTA ROSA, CA US","2011-04-18","68","50","58"
"USC00047965","SANTA ROSA, CA US","2011-04-19","67","48","66"
"USC00047965","SANTA ROSA, CA US","2011-04-20","61","44","56"
"USC00047965","SANTA ROSA, CA US","2011-04-21","65","41","63"
"USC00047965","SANTA ROSA, CA US","2011-04-22","65","38","55"
"USC00047965","SANTA ROSA, CA US","2011-04-23","62","44","60"
"USC00047965","SANTA ROSA, CA US","2011-04-24","58","49","67"
"USC00047965","SANTA ROSA, CA US","2011-04-25","70","47","64"
"USC00047965","SANTA ROSA, CA US","2011-04-26","66","37","65"
"USC00047965","SANTA ROSA, CA US","2011-04-27","68","40","66"
"USC00047965","SANTA ROSA, CA US","2011-04-28","67","38","64"
"USC00047965","SANTA ROSA, CA US","2011-04-29","69","36","68"
"USC00047965","SANTA ROSA, CA US","2011-04-30","77","44","75"
"USC00047965","SANTA ROSA, CA US","2011-05-01","80","42","76"
"USC00047965","SANTA ROSA, CA US","2011-05-02","76","39","69"
"USC00047965","SANTA ROSA, CA US","2011-05-03","74","38","73"
"USC00047965","SANTA ROSA, CA US","2011-05-04","85","42","83"
"USC00047965","SANTA ROSA, CA US","2011-05-05","85","47","82"
"USC00047965","SANTA ROSA, CA US","2011-05-06","83","50","65"
"USC00047965","SANTA ROSA, CA US","2011-05-07","71","45","69"
"USC00047965","SANTA ROSA, CA US","2011-05-08","65","48","64"
"USC00047965","SANTA ROSA, CA US","2011-05-09","69","40","69"
"USC00047965","SANTA ROSA, CA US","2011-05-10","72","38","68"
"USC00047965","SANTA ROSA, CA US","2011-05-11","63","42","63"
"USC00047965","SANTA ROSA, CA US","2011-05-12","71","40","65"
"USC00047965","SANTA ROSA, CA US","2011-05-13","70","36","69"
"USC00047965","SANTA ROSA, CA US","2011-05-14","61","40","56"
"USC00047965","SANTA ROSA, CA US","2011-05-15","58","41","56"
"USC00047965","SANTA ROSA, CA US","2011-05-16","52","40","50"
"USC00047965","SANTA ROSA, CA US","2011-05-17","58","46","57"
"USC00047965","SANTA ROSA, CA US","2011-05-18","66","40","56"
"USC00047965","SANTA ROSA, CA US","2011-05-19","74","45","71"
"USC00047965","SANTA ROSA, CA US","2011-05-20","71","42","65"
"USC00047965","SANTA ROSA, CA US","2011-05-21","74","46","71"
"USC00047965","SANTA ROSA, CA US","2011-05-22","75","45","71"
"USC00047965","SANTA ROSA, CA US","2011-05-23","75","42","72"
"USC00047965","SANTA ROSA, CA US","2011-05-24","67","43","62"
"USC00047965","SANTA ROSA, CA US","2011-05-25",,"45","59"
"USC00047965","SANTA ROSA, CA US","2011-05-26","67","46","59"
"USC00047965","SANTA ROSA, CA US","2011-05-27","67","43","65"
"USC00047965","SANTA ROSA, CA US","2011-05-28","67","45","52"
"USC00047965","SANTA ROSA, CA US","2011-05-29","72","42","71"
"USC00047965","SANTA ROSA, CA US","2011-05-31","70","44","57"
"USC00047965","SANTA ROSA, CA US","2011-06-01","60","44","60"
"USC00047965","SANTA ROSA, CA US","2011-06-02","62","45",
"USC00047965","SANTA ROSA, CA US","2011-06-03","62","44","60"
"USC00047965","SANTA ROSA, CA US","2011-06-04","65","48","65"
"USC00047965","SANTA ROSA, CA US","2011-06-05","63","46","62"
"USC00047965","SANTA ROSA, CA US","2011-06-06","63","46","60"
"USC00047965","SANTA ROSA, CA US","2011-06-07","70","48","69"
"USC00047965","SANTA ROSA, CA US","2011-06-08","71","46","70"
"USC00047965","SANTA ROSA, CA US","2011-06-09","72","42","70"
"USC00047965","SANTA ROSA, CA US","2011-06-10","75","44","79"
"USC00047965","SANTA ROSA, CA US","2011-06-11","74","41","69"
"USC00047965","SANTA ROSA, CA US","2011-06-12","74","45","70"
"USC00047965","SANTA ROSA, CA US","2011-06-13","80","45","79"
